vehicle_make,vehicle_model,vehicle_body_type,vehicle_year,vehicle_mileage,vehicle_transmission,vehicle_price
Toyota,Corolla,Sedan,1995,142500,Manual,70000000
Suzuki,SX4,Hatchback,2009,97500,Automatic,99000000
Toyota,Harrier,SUV,2014,67500,Automatic,450000000
Mitsubishi,Xpander,Wagon,2018,32500,Automatic,239000000
Toyota,Camry,Sedan,2017,47500,Automatic,345000000
Mitsubishi,Pajero Sport,SUV,2015,62500,Automatic,335000000
Daihatsu,Ayla,Hatchback,2016,67500,Automatic,98000000
Mitsubishi,Pajero Sport,SUV,2018,82500,Automatic,435000000
Mitsubishi,Kuda,MPV,2003,207500,Manual,60000000
Nissan,Navara,Pick-up,2017,57500,Automatic,425000000
Honda,Brio,Hatchback,2012,57500,Manual,107000000
BMW,320i,Sedan,2013,57500,Automatic,300000000
Honda,Odyssey,MPV,2015,92500,Automatic,400000000
Daihatsu,Sigra,MPV,2018,112500,Manual,112000000
Mazda,RX-8,Coupe,2005,52500,Automatic,230000000
Toyota,Rush,SUV,2011,77500,Manual,143000000
Mitsubishi,Outlander Sport,SUV,2013,72500,Manual,165000000
Daihatsu,Sirion,Hatchback,2017,82500,Manual,125000000
Toyota,Rush,SUV,2011,47500,Manual,146000000
Mitsubishi,Outlander Sport,SUV,2014,42500,Automatic,193000000
Toyota,Kijang Innova,MPV,2012,97500,Automatic,208000000
Honda,Stream,MPV,2005,192500,Manual,89000000
Honda,CR-V,SUV,2010,107500,Automatic,148000000
Wuling,Almaz,Wagon,2019,17500,Automatic,250000000
Suzuki,Baleno,Hatchback,2018,22500,Automatic,185000000
Suzuki,Karimun,Hatchback,2007,152500,Manual,69000000
Honda,Brio,Hatchback,2016,77500,Automatic,128000000
Honda,HR-V,SUV,2016,82500,Automatic,235000000
Honda,HR-V,SUV,2017,77500,Automatic,278000000
Honda,Jazz,Hatchback,2016,62500,Automatic,228000000
Toyota,Fortuner,SUV,2018,57500,Automatic,420000000
Toyota,Kijang Innova,MPV,2021,37500,Automatic,455000000
Nissan,Grand Livina,MPV,2013,72500,Automatic,115000000
Mitsubishi,Pajero Sport,SUV,2015,77500,Automatic,330000000
Mitsubishi,Xpander,Wagon,2019,22500,Automatic,265000000
Suzuki,Ertiga,MPV,2014,92500,Automatic,138000000
Mazda,6,Wagon,2018,22500,Automatic,460000000
Toyota,Vellfire,Van Wagon,2013,67500,Automatic,450000000
Honda,Brio,Hatchback,2018,62500,Automatic,148000000
Honda,Jazz,Hatchback,2017,42500,Automatic,249000000
Honda,CR-V,SUV,2008,57500,Automatic,165000000
Mitsubishi,Xpander,Wagon,2018,67500,Automatic,229000000
Toyota,Calya,MPV,2020,62500,Automatic,145000000
Suzuki,Baleno,Hatchback,2017,72500,Manual,165000000
Honda,Brio,Hatchback,2014,87500,Automatic,124000000
Honda,HR-V,SUV,2019,17500,Automatic,310000000
Honda,Odyssey,MPV,2015,77500,Automatic,335000000
Mazda,2,Hatchback,2016,82500,Automatic,185000000
Toyota,Rush,SUV,2020,47500,Automatic,248000000
Toyota,Vios,Sedan,2013,132500,Automatic,130000000
Nissan,Navara,Pick-up,2009,97500,Automatic,218000000
Mazda,2,Hatchback,2013,102500,Automatic,125000000
BMW,320i,Sedan,2015,17500,Automatic,405000000
Honda,City,Sedan,2008,152500,Automatic,105000000
Honda,Jazz,Hatchback,2016,52500,Automatic,220000000
Honda,Jazz,Hatchback,2011,52500,Manual,159000000
Honda,City,Hatchback,2021,22500,Automatic,292000000
Daihatsu,Terios,SUV,2019,52500,Automatic,216000000
Toyota,Rush,SUV,2020,47500,Automatic,248000000
Honda,Civic,Sedan,2013,102500,Automatic,179000000
Mercedes-Benz,E300,Sedan,2018,77500,Automatic,620000000
Toyota,Kijang Innova,MPV,2018,92500,Automatic,335000000
Toyota,Kijang Innova,MPV,2018,132500,Automatic,330000000
Honda,Jazz,Hatchback,2017,52500,Automatic,237000000
Toyota,Rush,SUV,2021,17500,Automatic,258000000
Suzuki,Grand Vitara,SUV,2012,112500,Automatic,130000000
Nissan,Grand Livina,MPV,2014,71000,Automatic,155000000
Toyota,Rush,SUV,2017,22500,Manual,195000099
Honda,CR-V,SUV,2001,117500,Automatic,78000000
Honda,CR-V,SUV,2013,102500,Automatic,217000000
Toyota,Kijang Innova,MPV,2017,70000,Automatic,250000000
Honda,Civic,Sedan,2008,132500,Automatic,125000000
BMW,iX,Wagon,2023,2500,Automatic,2099000000
Honda,HR-V,SUV,2019,22500,Automatic,247000000
Suzuki,Karimun Wagon R,Hatchback,2018,47500,Manual,77000000
Honda,CR-V,SUV,2019,42500,Automatic,467000000
Honda,Civic,Sedan,2017,62500,Automatic,370000000
BMW,530i,Sedan,2017,52500,Automatic,690000000
Mitsubishi,Xpander,Wagon,2021,17500,Automatic,280000000
Toyota,Kijang Innova,MPV,2020,52500,Automatic,410000000
Honda,Brio,Hatchback,2012,72500,Automatic,122000000
Toyota,Yaris,Hatchback,2011,152500,Automatic,125000000
Toyota,Calya,MPV,2022,22500,Manual,139000000
Toyota,Kijang Innova Zenix,Wagon,2023,11000,Automatic,388000000
Honda,Mobilio,MPV,2015,135000,Manual,132000000
Honda,BR-V,SUV,2022,20000,Automatic,260000000
Mercedes-Benz,C200,Sedan,2014,20000,Automatic,430000000
Nissan,X-Trail,SUV,2014,68000,Automatic,288000000
Isuzu,MU-X,SUV,2014,130000,Automatic,232500000
Honda,Brio,Hatchback,2017,42500,Manual,102000000
KIA,Sonet,Wagon,2021,32500,Automatic,260000000
Honda,HR-V,SUV,2022,7500,Automatic,395000000
Nissan,Grand Livina,MPV,2013,92500,Automatic,96000000
Honda,HR-V,SUV,2017,252500,Automatic,250000000
Honda,Brio,Hatchback,2021,22500,Manual,148000000
Honda,HR-V,SUV,2017,122500,Automatic,203000000
Honda,Mobilio,MPV,2018,67500,Automatic,168500000
Toyota,Kijang Innova,MPV,2010,122500,Automatic,134500000
Toyota,Vios,Sedan,2015,72500,Automatic,152000000
Nissan,Grand Livina,MPV,2008,162500,Automatic,63500000
Daihatsu,Terios,SUV,2021,22500,Manual,215000000
BMW,530i,Sedan,2018,32500,Automatic,700000000
Nissan,March,Hatchback,2011,147500,Manual,72000000
Suzuki,Escudo,SUV,2005,157500,Manual,68800000
Honda,HR-V,SUV,2017,57500,Automatic,225000000
Honda,Mobilio,MPV,2017,32500,Manual,150000000
Toyota,Corolla Altis,Sedan,2002,172500,Automatic,50000000
Honda,CR-Z,Hatchback,2016,37500,Automatic,350000000
BMW,320i,Sedan,2012,57500,Automatic,209000000
Land Rover,Range Rover Evoque,SUV,2012,27500,Automatic,450000000
Toyota,Avanza,MPV,2014,127500,Automatic,137000000
Daihatsu,Sirion,Hatchback,2013,162500,Automatic,95000000
Honda,HR-V,SUV,2017,37500,Automatic,215000000
Toyota,Kijang Innova,MPV,2018,57500,Manual,312000000
Toyota,Kijang Innova,MPV,2022,22500,Automatic,350000000
Toyota,Innova Venturer,Wagon,2018,22500,Automatic,335000000
Honda,City,Sedan,2007,162500,Manual,73500000
Honda,CR-V,SUV,2018,47500,Automatic,380000000
Isuzu,Elf,Trucks,2018,122500,Manual,285000000
Toyota,Vios,Sedan,2007,162500,Manual,68000000
